"feather","age","prov","cutoff minimum CANG","lower quartile CACK","upper quartile CANG"
"lrl","Immature","Alberta",152.1,145.9,158.3
"mlrl","Immature","Alberta",145.7,139.9,151.5
"crl","Immature","Alberta",142.1,134.3,150
"lrl","Adult","Alberta",161.2,157.8,164.7
"mlrl","Adult","Alberta",151.9,147.6,156.2
"crl","Adult","Alberta",148.1,144.2,152
"lrl","Immature","Saskatchewan",155,148.8,161.2
"mlrl","Immature","Saskatchewan",149.7,143.9,155.5
"crl","Immature","Saskatchewan",144.7,136.9,152.5
"lrl","Adult","Saskatchewan",162.8,159.4,166.3
"mlrl","Adult","Saskatchewan",154.8,150.5,159.1
"crl","Adult","Saskatchewan",149.4,145.4,153.3
"lrl","Immature","Manitoba",144.3,138.1,150.5
"mlrl","Immature","Manitoba",139.1,133.3,144.9
"crl","Immature","Manitoba",129.9,122,137.7
"lrl","Adult","Manitoba",156.9,153.5,160.3
"mlrl","Adult","Manitoba",147,142.8,151.3
"crl","Adult","Manitoba",141.9,138,145.9
